name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
我的野蛮初恋,https://movie.douban.com/subject/1307289/,6.3,4546,吴钟禄,吴钟禄,车太贤/孙艺珍,剧情/喜剧/爱情,韩国,韩语,2003,108分钟,(全部776条),(全部26条)
和平战士,https://movie.douban.com/subject/1772560/,8.4,5183,维克多·萨尔瓦,凯文·伯恩哈特,斯科特·麦克洛维茨/尼克·诺特/艾米·斯马特/保罗·韦斯利,剧情/爱情/运动,德国/美国,英语,2006,USA:120分钟,(全部1504条),(全部124条)
月亮坪的秘密,https://movie.douban.com/subject/2037958/,6.2,5070,嘉柏·丘波,Graham Alborough,达科塔·布鲁·理查兹/艾恩·格拉法德/娜塔莎·麦克艾霍恩/茱丽叶特·斯蒂文森/奥古斯图斯·珀如,爱情/家庭/奇幻/冒险,匈牙利/英国/法国,英语,2008,103分钟,(全部1079条),(全部21条)
生活艰难所以快乐,https://movie.douban.com/subject/1507140/,8.6,5363,堤幸彦,河原雅彦,大野智/樱井翔/相叶雅纪/二宫和也/松本润,剧情,日本,日语,2004,106分钟,(全部1325条),(全部23条)
尘封笔记本,https://movie.douban.com/subject/2152245/,7.3,4952,行定勋,行定勋,泽尻英龙华/伊势谷友介/竹内结子/板谷由夏/纱荣子/永作博美/中村贺津雄/田中哲司,剧情,日本,日语,2007,Japan:138分钟,(全部928条),(全部50条)
恋爱部屋,https://movie.douban.com/subject/2042193/,6.3,4722,大九明子,大九明子,新垣结衣/松田龙平/菊地凛子/江口德子/泷正则,剧情/爱情,日本,日语,2007,113分钟,(全部1098条),(全部32条)
我的哥哥,https://movie.douban.com/subject/1415573/,7.6,4787,安权太,安权太,元斌/申河均/金海淑,剧情/家庭,韩国,韩语,2004,112分钟,(全部857条),(全部19条)
不敢说爱你,https://movie.douban.com/subject/3330040/,6.9,4805,方军亮,铭心,林雨申/童瑶/商忆沙,剧情,中国,汉语普通话,2008,90分钟,(全部1260条),(全部65条)
无夜不漫长,https://movie.douban.com/subject/1863384/,7.7,5178,汤姆·森兰,凯文·埃尔约特,李·威廉姆斯/马克·沃伦/MikelaJay/罗伯·布鲁内尔/SalvatoreAntonio/BeverleyBreuer/丹尼斯·科贝特/PhilipGranger/马克·海德斯/艾米莉·霍尔姆斯/ChristinaJastrzembska/SusanKnight/JessicaLowry/LiamMcGuigan/约翰·拉尔斯顿,剧情/悬疑/惊悚/同性/犯罪,英国/加拿大,英语,2002,115分钟,(全部1733条),(全部52条)
欢迎来到隔离病房,https://movie.douban.com/subject/2042230/,7.3,4719,松尾铃木,松尾铃木,内田有纪/苍井优/宫藤官九郎/妻夫木聪/凉/大竹忍/冢本晋也/中村优子/高桥真唯,剧情,日本,日语,2007,118分钟,(全部921条),(全部34条)
