name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
一吻定情电影版2：大学篇,https://movie.douban.com/subject/26703793/,4.7,746,溝口稔,溝口稔,佐藤宽太/美沙玲奈/阵内孝则/石田光/石冢英彦/大仓士门/山口乃乃华/灯敦生/鶴久政治,喜剧/爱情,日本,日语,2017,104
美景之屋,https://movie.douban.com/subject/19963931/,4.6,2872,李洙成,李洙成,KwakHyeon-hwa/许娜京/OhSeong-tae,爱情,韩国,韩语,2012,92
早见，晚爱,https://movie.douban.com/subject/11639159/,4.4,5265,刘国昌,陈迅,周渝民/童瑶/曹云金/白羽/叶一云/陈维涵/刘鑫/姜寒/温海波,剧情/爱情,中国大陆,汉语普通话,2013,87
通灵之六世古宅,https://movie.douban.com/subject/25905746/,4.2,2074,彭发,彭发,徐娇/张兆辉/田子田/宋轶/陆思宇/毕秀茹,惊悚/恐怖,中国大陆,汉语普通话,2015,87
我想结婚的时候你在哪,https://movie.douban.com/subject/25732548/,3.9,15226,车径行,汪洋,郭品超/周秀娜/周韦彤/李彬/高雅轩/廖京生/唐伯虎/瞿颖/白雪/范植伟/王希瑶,喜剧/爱情,中国大陆,汉语普通话,2014,91
男神时代,https://movie.douban.com/subject/26301662/,3.5,5024,徐正超,海风暖暖,任言恺/李菲儿/李贤宰/郑媛元/丹尼斯·凯恩/苏查拉·玛娜英/刘智福/刘智满/刘智堂/李志荟,喜剧/爱情,中国大陆,汉语普通话,2015,91
午夜凶梦,https://movie.douban.com/subject/6013868/,3.5,2388,叶伟英,王策,钟欣潼/吴建飞/关智斌/周显欣/黄维德,悬疑/惊悚/恐怖,中国大陆,汉语普通话/粤语,2011,90
古宅,https://movie.douban.com/subject/26995764/,3.4,696,涂霆骏/麦浩邦,黄子桓,朱茵/张继聪/张彦博/邹文正/李枫/魏来/姚童,惊悚/恐怖,香港,粤语,2018,85
恐怖旅馆,https://movie.douban.com/subject/11511025/,2.7,2161,郑来志,郑来志,陈司翰/贡米/来喜/安雅/赵铭/李菁/董立范,喜剧/恐怖,中国大陆,汉语普通话,2012,86
青春雷锋,https://movie.douban.com/subject/11627079/,2.6,1857,刘一君,谭仲池,胡家华/孙健淇/张江诗琴/种丹妮/温亚南/成泰燊/颜世魁,剧情/传记,中国大陆,汉语普通话,2013,101
娱乐圈血肉史2,https://movie.douban.com/subject/26348796/,9.4,1048,黄子华,黄子华,黄子华,脱口秀,香港,粤语,2011,139
神奇的费曼先生,https://movie.douban.com/subject/24696708/,9.2,708,Christopher Riley,,RichardFeynman,传记,英国,英语,2013,60
超豪华！！最初也是最后的大同窗会！8时J,https://movie.douban.com/subject/30402148/,9.1,619,,,泷泽秀明/山下智久/生田斗真/风间俊介/长谷川纯/大野智/樱井翔/相叶雅纪/二宫和也/松本润/村上信五/横山裕/锦户亮/丸山隆平/安田章大/大仓忠义,真人秀/脱口秀,日本,日语,2018,90
从漫画了解！Fate/Grand,https://movie.douban.com/subject/30420108/,9.0,128,,,金田朋子/高桥李依/米泽圆/坂本真绫/能登麻美子/大久保瑠美/斋藤千和/种田梨沙/丹下樱/野中蓝/小见川千明,喜剧/动画,日本,日语,2018,14
黑子的篮球第75.5Q：最好的礼物,https://movie.douban.com/subject/26693314/,8.8,768,多田俊介,藤卷忠俊,小野贤章/小野友树/神谷浩史/诹访部顺一/小野大辅/铃村健一/木村良平/折笠富美子/斋藤千和/细谷佳正/滨田贤二/野岛裕史/谷山纪章/铃木达央,动画/运动,日本,日语,2015,
银魂,https://movie.douban.com/subject/26852464/,8.7,1126,,空知英秋,杉田智和/甲斐田裕子,喜剧/动作/科幻/动画,日本,日语,2016,26
夏虫国,https://movie.douban.com/subject/25806970/,8.4,1797,汤柏华,王剑,,动画,中国大陆,汉语普通话,2013,17
四月是你的谎言OAD：MOMENTS,https://movie.douban.com/subject/26235257/,8.4,1516,イシグロキョウヘイ,吉冈孝夫,花江夏树/种田梨沙/梶裕贵/早见沙织,剧情/动画,日本,日语,2015,24
巴尼的人生,https://movie.douban.com/subject/3718460/,8.3,8492,理查德·J·刘易斯,莫德凯·里奇勒,保罗·吉亚玛提/裴淳华/明妮·德里弗/蕾切尔·勒费夫尔/斯科特·斯比德曼/达斯汀·霍夫曼/杰克·霍夫曼/马克·阿蒂/绍尔·鲁宾内克,剧情,加拿大/意大利,英语,2010,134
爷爷的煤油灯,https://movie.douban.com/subject/6001038/,8.3,6559,滝口禎一,滝口禎一,神谷浩史/清水理沙/伊藤和晃/谷育子/小形満/藤本譲/サエキトモ,动画/家庭/儿童,日本,日语,2011,24
四叠半神话大系：地面潜航艇，前往南极,https://movie.douban.com/subject/19973396/,8.3,1305,汤浅政明,上田诚,浅沼晋太郎/吉野裕行/坂本真绫,动画,日本,日语,2010,
纠结我,https://movie.douban.com/subject/11600252/,8.2,2708,Kai Stanicke,Kai Stanicke,SenaFriemuth/DanielKebernik,剧情,德国,英语,2012,
路易·C·K,https://movie.douban.com/subject/26981958/,8.2,2524,路易·C·K,路易·C·K,路易·C·K,喜剧/脱口秀,美国,英语,2017,74
那般良夜,https://movie.douban.com/subject/26729194/,8.1,210,埃里克·斯泰尔斯,N.J. Crisp,约翰·赫特/查尔斯·丹斯/艾琳·理查兹/索菲亚·海林/马克斯·布朗/索妮塔·亨利/诺亚·尤佩/SalvadorNery/TiagoAldeia,剧情,英国,英语,2017,90
神的病历簿2,https://movie.douban.com/subject/20445157/,7.9,4188,深川荣洋,后藤法子,樱井翔/宫崎葵/藤原龙也/柄本明/原田泰造/吹石一惠/市毛良枝/滨田岳/吉濑美智子/要润,剧情,日本,日语,2014,120
凯撒必须死,https://movie.douban.com/subject/10438582/,7.8,4595,保罗·塔维亚尼/维托里奥·塔维亚尼,保罗·塔维亚尼,萨尔瓦多·斯特里亚诺/柯西莫·雷加/安东尼奥·弗拉斯加/胡安·达里奥·伯内蒂/文森特·盖洛/曼奴拉·阿库里/法比欧·里祖托,剧情,意大利,意大利语,2012,76
