name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
天下无贼,https://movie.douban.com/subject/1291550/,7.8,302421,冯小刚,王刚,刘德华/刘若英/王宝强/李冰冰/葛优/张涵予/尤勇/徐帆/傅彪/范伟/冯远征/林家栋,剧情/动作/犯罪,中国大陆/香港,汉语普通话,2004,113分钟
香水,https://movie.douban.com/subject/1760622/,8.5,340506,汤姆·提克威,安德鲁·伯金,本·卫肖/艾伦·瑞克曼/蕾切儿·哈伍德/达斯汀·霍夫曼/大卫·卡尔德/比吉特·米尼希迈尔/卡洛斯·格拉马赫/西恩·托马斯/佩里·米尔沃德/山姆·道格拉斯/卡洛琳·赫弗斯/卡罗丽娜·维拉·斯克利亚/莎拉·弗里斯蒂/科琳娜·哈弗奇/杰西卡·施瓦茨/约翰·赫特,剧情/犯罪/奇幻,德国/法国/西班牙/美国,英语,2006,147分钟
和莎莫的500天,https://movie.douban.com/subject/3072086/,8.0,348577,马克·韦布,斯科特·纽斯塔德,约瑟夫·高登-莱维特/佐伊·丹斯切尔/吉奥弗瑞·阿伦德/科洛·莫瑞兹/马修·格雷·古柏勒/克拉克·格雷格/帕特里夏·贝尔彻/瑞秋·波士顿/敏卡·凯利/CharlesWalker/伊安·瑞德·科斯勒/维勒特·罗德里格斯/伊薇特·尼科尔·布朗/妮科尔·维丘什/麦丽·弗拉纳甘/SidWilner/理查德·麦克格纳格尔/让-保罗·维尼翁/苏比尔·阿祖尔/盖斯·卡尔/NadineEllis/TiffanyGranath/BrandonHenschel/莱克茜·休姆/JenniferLeeKeyes/蒂姆·拉卡特纳/RebeccaLin/AnthonyMarciona/RyanThomas/克里斯汀文森特/JullWeber/奥利维亚·霍华德·巴基/JosephButtler/AdamEmery/詹妮弗·赫特里克/迈克尔·贾斯蒂斯/KevinLeung/米歇尔·梅森/EllenThompson/裴蕾森特维恩/KathrynWeisbeck/JonMorganWoodward,剧情/喜剧/爱情,美国,英语/法语/瑞典语,2009,95分钟
风声,https://movie.douban.com/subject/3734112/,8.1,332853,陈国富/高群书,陈国富,周迅/李冰冰/张涵予/王志文/黄晓明/苏有朋/英达/石兆琪/倪大红/段奕宏/朱旭/刘威葳/张一白/吴刚/邓家佳/刘芸/爱戴,剧情/惊悚/战争/犯罪,中国大陆,汉语普通话/日语,2009,118分钟
画皮,https://movie.douban.com/subject/2135981/,6.6,300318,陈嘉上/钱永强,刘浩良,甄子丹/周迅/陈坤/赵薇/孙俪/戚玉武/晋松/梁家豪/柳岩/肖聪/叶尔江·马合甫什/谭安业/张灏/闻洋/赵长洲/李奇龙/曲大雷/向恬冉/韩振华/金粮/戴小轶/陈敏渝/王巧玉,剧情/爱情/惊悚/奇幻,中国大陆/香港/新加坡,汉语普通话,2008,103分钟
花样年华,https://movie.douban.com/subject/1291557/,8.6,313289,王家卫,王家卫,梁朝伟/张曼玉/潘迪华/萧炳林/张耀扬/孙佳君/钱似莺/顾锦华,剧情/爱情,香港,粤语/上海话/法语,2000,98分钟
窃听风暴,https://movie.douban.com/subject/1900841/,9.1,313888,弗洛里安·亨克尔·冯·多纳斯马尔克,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃/马蒂娜·格德克/塞巴斯蒂安·科赫/乌尔里希·图库尔/托马斯·蒂梅/汉斯-尤韦·鲍尔/沃克马·克莱纳特/马提亚斯·布伦纳/查理·哈纳/赫伯特·克瑙普/巴斯蒂安·特罗斯特/玛丽·格鲁伯/维尔纳·德恩/马丁·布拉巴赫/托马斯·阿诺德/辛纳克·勋纳曼/路德韦格·布洛克伯格/迈克尔·格伯/吉塔·施维赫夫/希尔德加德·斯罗德/伊嘉·比肯费尔德/凯·伊沃·保利兹/克劳斯·芒斯特,剧情/悬疑,德国,德语,2006,137分钟
听说,https://movie.douban.com/subject/3824672/,8.1,308219,郑芬芬,郑芬芬,彭于晏/陈意涵/陈妍希/罗北安/林美秀,剧情/爱情,台湾,汉语普通话/台湾手语/闽南语,2009,107分钟
蓝色大门,https://movie.douban.com/subject/1308575/,8.3,306203,易智言,易智言,陈柏霖/桂纶镁/梁又琳/仇政/明金成/林贤能/黄江丰/是元介/姚元浩/游智炜/翁桂邦/夏绍虞/陈梦萱,剧情/爱情/同性,台湾/法国,汉语普通话,2002,85分钟
朗读者,https://movie.douban.com/subject/2213597/,8.5,320671,史蒂芬·戴德利,戴维·黑尔,凯特·温丝莱特/大卫·克劳斯/拉尔夫·费因斯/詹妮特·海因/苏珊娜·洛塔尔/AlissaWilms/弗罗里安·巴西奥罗麦/弗里德里克·贝得勒支/马蒂亚斯·哈比希/FriederVenus/Marie-AnneFliegel/HendrikArnst/RainerSellien/托尔斯滕·米凯利斯/MoritzGrove,剧情/爱情,美国/德国,英语/德语/希腊语/拉丁语,2008,124分钟
后天,https://movie.douban.com/subject/1308779/,8.1,278867,罗兰·艾默里奇,罗兰·艾默里奇,丹尼斯·奎德/杰克·吉伦哈尔/埃米·罗森/达什·米霍克/杰伊·桑德斯/雪拉·渥德/奥斯汀·尼可斯/阿尔杰·史密斯/富田谭玲/萨沙·罗伊茨/伊安·霍姆/肯尼斯·威尔什/罗宾·威尔科克/贾森·布利克/肯尼思·莫斯科/蒂姆·滨口/格伦·普拉默/艾德里安·莱斯特/理查德·麦克米伦/内斯特·塞拉诺/克里斯·布里顿/瓦拉斯塔·瓦拉纳/保利娜·利特尔/艾伦·福西特/霍华德·比莱尔曼/约翰·麦克拉伦/理查德·泽曼/佩里·金/弗兰克·方丹/米米·库兹克/维塔利·马卡罗夫/袁罗素/蒂姆·巴格莱/查克·沙曼塔/菲利普·贾勒特/艾安娜·奥申/托尼·卡拉布雷塔/薇安·温特/希拉·麦卡锡/汤姆·鲁尼/艾米·斯洛安/玛丽洛·贝吕古/凯伦·格莱夫/克里斯蒂安·特西尔/乔·柯布登/卡罗琳·基南/阿隆·鲁斯汀/萨姆·伍兹/杰克·劳弗/吕克·莱图尔诺/安妮·戴-琼斯/埃马纽埃尔·奥斯-德马雷/特里·辛普森/何塞·拉蒙·罗萨里奥,动作/科幻/冒险/灾难,美国,英语/日语/法语/阿拉伯语/西班牙语,2004,124分钟
大鱼,https://movie.douban.com/subject/1291545/,8.8,323862,蒂姆·波顿,Daniel Wallace,伊万·麦克格雷格/阿尔伯特·芬尼/比利·克鲁德普/杰西卡·兰格/海伦娜·伯翰·卡特/艾莉森·洛曼/罗伯特·吉尔劳姆/玛丽昂·歌迪亚/马修·麦克格罗里/大卫·丹曼/米西·派勒/卢顿·万恩怀特三世/艾达·泰/艾伦妮·泰/史蒂夫·布西密/丹尼·德维托/迪普·罗伊/海利·安妮·内尔森,剧情/家庭/奇幻/冒险,美国,英语/法语/俄语/粤语/汉语普通话,2003,125分钟
