name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
吾栖之肤,7.6,95128,佩德罗·阿莫多瓦,2011,117.0,西班牙,西班牙语,惊悚,惊悚,安东尼奥·班德拉斯,埃伦娜·安纳亚
蓝精灵：寻找神秘村,6.3,11862,凯利·阿斯博瑞,2017,90.0,美国,英语,喜剧,动画,黛米·洛瓦托,雷恩·威尔森
我最好朋友的婚礼,4.4,20547,陈飞宏,2016,91.0,中国大陆,汉语普通话,喜剧,爱情,舒淇,冯绍峰
斯隆女士,8.7,43853,约翰·马登,2016,132.0,美国,英语,剧情,悬疑,杰西卡·查斯坦,古古·姆巴塔-劳
罪恶之家,8.3,84830,艾斯林·沃什,2015,87.0,英国,英语,剧情,悬疑,大卫·休里斯,米兰达·理查森
暴疯语,5.9,33451,李光耀,2014,99.0,中国大陆,汉语普通话,悬疑,惊悚,刘青云,黄晓明
人类清除计划,5.8,41728,詹姆斯·德莫纳克,2013,85.0,美国,英语,科幻,惊悚,伊桑·霍克,琳娜·海蒂
恋如雨止,7.3,5892,永井聪,2018,112.0,日本,日语,剧情,爱情,小松菜奈,大泉洋
阿德尔曼夫妇,8.3,14086,尼古拉斯·贝多斯,2017,120.0,法国,法语,爱情,爱情,多莉亚·蒂利耶,尼古拉斯·贝多斯
军舰岛,7.8,38738,柳昇完,2017,132.0,韩国,韩语,剧情,动作,黄政民,苏志燮
少年巴比伦,6.8,22053,相国强,2015,96.0,中国大陆,汉语普通话,剧情,喜剧,董子健,李梦
黑夜传说4：觉醒,6.6,39487,曼斯·马林德/比约恩·史坦,2012,88.0,美国,英语,动作,惊悚,凯特·贝金赛尔,英迪娅·埃斯利
漂亮男孩,6.2,6264,菲力斯·范·古宁根,2018,120.0,美国,英语,剧情,剧情,史蒂夫·卡瑞尔,蒂莫西·柴勒梅德
人类清除计划3,6.1,22231,詹姆斯·德莫纳克,2016,109.0,美国,英语,科幻,惊悚,弗兰克·格里罗,伊丽莎白·米切尔
与犯罪的战争：坏家伙的全盛时代,7.8,32853,尹钟彬,2012,133.0,韩国,韩语,剧情,犯罪,崔岷植,河正宇
月升王国,8.3,86604,韦斯·安德森,2012,94.0,美国,英语,剧情,儿童,杰瑞德·吉尔曼,卡拉·海沃德
茉莉牌局,7.2,25615,艾伦·索金,2017,140.0,美国,英语,剧情,传记,杰西卡·查斯坦,伊德里斯·艾尔巴
名侦探柯南：章节ONE,8.2,8325,山本泰一郎,2016,92.0,日本,日语,动画,悬疑,山口胜平,山崎和佳奈
祈祷落幕时,8.1,24685,福泽克雄,2018,119.0,日本,日语,剧情,剧情,阿部宽,松岛菜菜子
每分钟120击,8.3,29411,罗宾·坎皮略,2017,140.0,法国,法语,剧情,同性,纳威尔·佩雷兹·毕斯卡亚特,阿诺德·瓦卢瓦
故事的故事,7.6,32276,马提欧·加洛尼,2015,133.0,意大利,英语,剧情,恐怖,萨尔玛·海耶克,文森特·卡索
喜欢，轻吻，快跑,7.8,12518,克里斯托夫·奥诺雷,2018,132.0,法国,法语,剧情,爱情,文森特·拉科斯特,皮埃尔·德隆尚
小森林,7.3,20782,林顺礼,2018,103.0,韩国,韩语,剧情,剧情,金泰梨,柳俊烈
蓝精灵2,6.5,20870,拉加·高斯内尔,2013,105.0,美国,英语,喜剧,动画,尼尔·帕特里克·哈里斯,布莱丹·格里森
男与女,8.0,35767,李胤基,2016,115.0,韩国,韩语,剧情,爱情,孔侑,全度妍
我的黑色小礼服,7.1,79766,许仁茂,2011,107.0,韩国,韩语,剧情,剧情,尹恩惠,朴寒星
人类清除计划2：无政府状态,6.3,29191,詹姆斯·德莫纳克,2014,103.0,美国,英语,科幻,惊悚,弗兰克·格里罗,卡门·艾乔戈
乌龙特工,6.2,19675,罗森·马歇尔·瑟伯,2016,107.0,美国,英语,喜剧,动作,道恩·强森,凯文·哈特
辛亥革命,6.3,33156,张黎/成龙,2011,121.0,中国大陆,汉语普通话,剧情,历史,赵文瑄,成龙
小公女,7.9,6952,全高云,2018,106.0,韩国,韩语,剧情,爱情,李絮,安在洪
科学怪狗,7.5,45258,蒂姆·波顿,2012,87.0,美国,英语,喜剧,科幻,马丁·肖特,凯瑟琳·欧哈拉
