name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
遍地狼烟,https://movie.douban.com/subject/4328442/,5.9,9100000,胡大为,胡大为,何润东/宋佳/梁家辉/何晟铭/朱琳/郭明翔/于荣光/陈司翰/吴飞霞,动作/爱情/战争,中国大陆,汉语普通话/日语,2011-12-02,101
魔法奇幻秀,https://movie.douban.com/subject/2282449/,6.9,18100000,特瑞·吉列姆,特瑞·吉列姆,希斯·莱杰/克里斯托弗·普卢默/莉莉·科尔/安德鲁·加菲尔德/约翰尼·德普/裘德·洛/科林·法瑞尔/威勒·特耶/汤姆·威兹,悬疑/奇幻/冒险,英国/加拿大/法国,英语/俄语/法语,2011-12-02,123
开心魔法,https://movie.douban.com/subject/6717575/,4.2,20350000,叶伟信,黄子桓,吴千语/黄百鸣/闫妮/吴尊/吴京/古天乐/松明/谈莉娜/iMe组合/鲍起静,喜剧/奇幻,中国大陆/香港,汉语普通话/粤语,2011-12-01,99
驱魔者,https://movie.douban.com/subject/2028661/,5.9,38000000,斯科特·查尔斯·斯图瓦特,Cory Goodman,保罗·贝坦尼/凯姆·吉甘戴/李美琪/卡尔·厄本/莉莉·柯林斯/克里斯托弗·普卢默/布拉德·道里夫/史蒂芬·莫耶,动作/科幻/惊悚/恐怖,美国,英语,2011-11-29,87
东成西就2011,https://movie.douban.com/subject/6068516/,3.9,80450000,刘镇伟,刘镇伟,陈奕迅/莫文蔚/钟镇涛/黄奕/郑伊健/谭维维/苏永康/房祖名/邓丽欣/钟绍图/李宗盛/方力申/林二汶/林一峰/唐嫣/杨幂/范逸臣,喜剧/动作/爱情/音乐/奇幻,中国大陆/香港,粤语/汉语普通话,2011-11-24,103
鸿门宴传奇,https://movie.douban.com/subject/5908477/,6.3,153100000,李仁港,李仁港,黎明/冯绍峰/刘亦菲/张涵予/黄秋生/陈小春/安志杰/贾青/孙文婷/孟瞳迪/黄姿琪/修庆/丁海峰/徐向东/陈观泰/午马/陈之辉/杜玉明,剧情/动作/爱情/历史/古装,中国大陆/香港,汉语普通话/粤语,2011-11-29,135
光棍终结者,https://movie.douban.com/subject/6815117/,4.4,1420000,赵非,张栋,李艾/段钧豪/周韦彤/周晓鸥/罗家英/赵韦至,喜剧/爱情,中国大陆,汉语普通话,2011-11-11,100
左利军,https://movie.douban.com/subject/6519573/,,2130000,丁荫楠,,邵峰/刘欣,,中国大陆,汉语普通话,2011-06-29,
杨门女将之军令如山,https://movie.douban.com/subject/4824982/,3.5,38550000,陈勋奇,陈勋奇,张柏芝/任贤齐/刘晓庆/郑佩佩/周海媚/陈紫函/金巧巧/于娜/大岛由加利/刘冬/赵芊羽/杨紫彤/肖明玉/戈春艳/周小飞/王媞/李静/张绮烟/午马/史梵希/任学海/林威,动作/战争/武侠/古装,中国大陆/香港,汉语普通话/粤语,2011-11-18,108
惊天战神,https://movie.douban.com/subject/3131599/,5.7,79990000,塔西姆·辛,查理·帕拉伯尼得斯,亨利·卡维尔/米基·洛克/约翰·赫特/卢克·伊万斯/斯蒂芬·多尔夫/芙蕾达·平托/凯南·鲁兹/伊莎贝尔·卢卡斯/约瑟夫·摩根/柯里·瑟威尔/史蒂芬·麦克哈蒂/罗伯特·梅耶/彼得·斯戴宾斯/丹尼尔·沙曼,剧情/动作/奇幻,美国,英语,2011-11-11,110
