name,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
烈血大风暴,8.0,1336,艾伦·帕克,Chris Gerolmo,吉恩·哈克曼/威廉·达福/弗兰西斯·麦克多蒙德/布拉德·道里夫/李·厄米,剧情/悬疑/惊悚/犯罪,美国,英语,1988,128
德黑兰43年,8.6,1287,亚历山大·阿洛夫/弗拉基米尔·纳乌莫夫,亚历山大·阿洛夫,纳塔利娅·别洛赫沃斯季科娃/库尔德·于尔根斯/伊戈尔·柯斯托列夫斯基/克洛德·雅德/阿尔缅·哲加尔哈尼扬/乔治·热雷/AlbertFilozov/阿兰·德龙/尼古拉·格林科/迈克·马歇尔/格列布·斯特里仁诺夫/杰斯·哈恩/JacquesRoux/伊芙莲嘉/奥莱加·费多罗,剧情/爱情/战争,苏联/法国/瑞士/西班牙,俄语/波斯语,1981,150
神奇独角马,8.7,1101,平田敏夫/手冢治虫,手冢治虫,三轮胜惠/杉山佳寿子/堀绚子/井上真树夫/中西妙子/来宫良子/永井一郎/矢田耕司/田之中勇/八奈见乘儿/川岛千代子/铃木富子/倍赏千惠子,动画/奇幻/冒险,日本,日语/英语,1981,90
三十年细说从头,7.3,1257,李翰祥,李翰祥,刘永/戴良纯/邵音音/楚湘云/谷峰/李殿馨/詹森/井淼/潘冰嫦,剧情/喜剧/情色,香港,汉语普通话,1982,92
阴阳魔界,7.0,1306,乔治·米勒/乔·丹特/约翰·兰迪斯/史蒂文·斯皮尔伯格,杰罗姆·比克斯比,丹·艾克罗伊德/艾伯特·布鲁克斯/维克·莫罗,科幻/恐怖,美国,英语/法语/德语/越南语,1983,101
乖仔也疯狂,6.7,1313,保罗·布里克曼,保罗·布里克曼,汤姆·克鲁斯/丽贝卡·德莫尼RebeccaDeMornay/乔·潘托里亚诺JoePantolian/RichardMasur,剧情/喜剧,美国,英语/德语,1983,98
银色星球,7.7,1118,安德烈·祖拉斯基,安德烈·祖拉斯基,安德烈·瑟韦林/杰吉·特雷拉/格拉齐娜·迪拉格/瓦尔德马·科纳克基/伊沃娜·别尔斯卡/耶日·格拉莱克/埃尔兹别塔·卡尔科什卡/克里斯提娜·杨达/马切伊·古拉伊/亨里克·塔拉尔/莱谢克·德卢戈什/扬·弗雷奇/亨里克·比斯塔/维斯瓦夫·科马萨/耶日·戈林斯基,科幻/冒险,波兰,波兰语,1988,166
说谎的女人,7.1,1488,区丁平,邱刚健,刘嘉玲/吴启华/金燕玲/周美凤/夏文汐/罗美薇/曾江/关之琳/文隽,剧情,香港,粤语,1989,96
仲夏夜性喜剧,7.0,1171,伍迪·艾伦,伍迪·艾伦,伍迪·艾伦/米亚·法罗/何塞·费勒/朱丽·哈基提/托尼·罗伯茨/玛丽·斯汀伯根/阿达姆雷德菲尔德/MoisheRosenfeld/蒂莫西詹金斯/迈克尔·希金斯/SolFrieder/BorisZoubok/托马斯巴伯/凯特·麦克格雷格-斯图尔特,喜剧/爱情,美国,英语,1982,88
克拉珀姆厨师奇遇记,7.6,1224,爱德华·本内特,克里夫·埃克斯顿,大卫·苏切/休·弗拉瑟/菲利普·杰克森/保琳·莫兰/BrigitForsyth/德尔莫特·克劳利,悬疑/犯罪,英国,英语,1989,50
T省的八四、八五年,8.6,1328,杨延晋,柳国庆,达式常/叶志康/王伟平/张瑞芳/鲁非/翟乃社/严永瑄/谈鹏飞/张晓敏,剧情,中国大陆,汉语普通话,1986,94
皇家师姐4：直击证人,6.8,1285,袁和平,黄永辉,甄子丹/杨丽菁/王敏德/袁日初,动作/犯罪,香港,粤语,1989,94
希望与荣耀,8.5,1244,John Boorman,John Boorman,SebastianRice-Edwards/GeraldineMuir/SarahMiles/DavidHayman/SammiDavis/DerrickO'Connor,剧情/战争,英国/美国,英语,1987,113
知音,7.5,1122,谢铁骊/陈怀皑/巴鸿,华而实,王心刚/张瑜/英若诚,剧情/爱情/历史,中国大陆,汉语普通话,1981,110
大阅兵,6.7,1163,陈凯歌,高力力,王学圻/孙淳/吴若甫/关强/康华,剧情,中国大陆,汉语普通话,1986,103
青春万岁,7.4,1082,黄蜀芹,王蒙,张闽/梁彦/秦岭/任冶湘/施天音/邬君梅,剧情/家庭,中国大陆,汉语普通话,1983,94
学生闹翻天,6.3,1552,迈克尔·里奇/米基·罗斯,米基·罗斯,MatthewGoldsby/RichardBrando,喜剧/悬疑/恐怖,美国,英语,1981,86
就是溜溜的她,6.2,1206,侯孝贤,侯孝贤,凤飞飞/钟镇涛/陈友,剧情/爱情,台湾,汉语普通话,1980,89
一个女人的身份证明,7.1,1052,米开朗基罗·安东尼奥尼,米开朗基罗·安东尼奥尼,托马斯·米连/达妮埃拉·西尔韦里奥/克里斯蒂娜·布瓦松/拉腊·文德尔/韦罗妮卡·拉扎尔/恩丽卡·安东尼奥尼/马塞尔·博祖菲/达多·鲁斯波利/伊塔科·纳尔杜利/保拉·多明古因,剧情/爱情,意大利/法国,意大利语/英语/法语,1982,128
