name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
爱上野猪妹,4.4,1502,汤姆·帕特南,2008,91,美国,英语,喜剧,爱情,帕丽斯·希尔顿,卡尔利·斯科特·科林斯
盛夏的猎户座,6.9,1559,筱原哲雄,2009,120,日本,日语,动作,动作,玉木宏,北川景子
101忠狗续集：伦敦大冒险,7.6,1400,金·加姆洛德,2003,74,美国,英语,喜剧,动画,巴比·洛克伍德,巴瑞·波斯威克
郎在远方,7.5,1563,李濬益,2008,126,韩国,韩语,爱情,战争,秀爱,郑镇荣
继续,6.9,1544,堤幸彦,2000,119,日本,日语,悬疑,犯罪,中谷美紀,渡部篤郎
真爱效应,6.5,1345,戴维霍兰德,2009,110,美国,英语,剧情,剧情,米歇尔·菲佛,阿什顿·库彻
血腥巧克力,5.4,1408,卡蒂娅·冯·加尼尔,2007,98,美国,英语,剧情,爱情,艾格尼丝·布鲁根,休·丹西
飞车手罗德,7.3,1486,阿吉瓦·沙弗尔,2007,88,美国,英语,喜剧,喜剧,安迪·萨姆伯格,乔玛·塔科内
幸运赌神,6.4,1448,柯蒂斯·汉森,2007,124,美国,英语,剧情,爱情,菲利斯·萨莫维尔,艾瑞克·巴纳
捉放爱,6.6,1353,苏珊娜·格兰特,2006,124,美国,英语,剧情,喜剧,詹妮弗·加纳,蒂莫西·奥利芬特
旧情不散,5.5,1422,皮亚潘·秋贝绮,2009,85,泰国,泰语,剧情,爱情,查克利·彦纳姆,WanidaTermthanaporn
麻婆岛,6.6,1399,秋昌旼,2005,107,韩国,韩语,喜剧,喜剧,金秀美,吕运计
田园调布鼠男事件,6.1,1462,西坂瑞城,2008,60,日本,日语,剧情,剧情,品川祐,山崎真実
勿忘我,8.2,1468,长崎俊一,2008,115,日本,日语,剧情,家庭,萨奇·帕克,高桥真悠
壬生义士传,7.9,1574,泷田洋二郎,2003,137,日本,日语,剧情,剧情,中井贵一,佐藤浩市
功夫小子,4.5,1490,小田一生,2007,98,日本,日语,动作,儿童,张壮,泉品子
下流高校,5.5,1341,David Kendall,2005,87,美国,英语,喜剧,喜剧,米洛·文堤米利亚,莱西·沙伯特
终点之城,7.3,1478,詹姆斯·伊沃里,2009,117,英国,英语,剧情,剧情,NicholasBlandullo,SofíaViruboff
无厘头森林之第一次接触,7.2,1291,石井克人,2005,150,日本,日语,喜剧,喜剧,浅野忠信,加濑亮
电车男SP：最后的圣战,7.1,1417,武内英树,2006,107,日本,日语,剧情,喜剧,伊東美咲,白石美帆
非常夏日,7.5,1470,路学长,2000,103,中国大陆,汉语普通话,剧情,悬疑,潘粤明,马晓晴
移民第二代,8.3,1847,Brad Gann,2007,95,美国,英语,剧情,剧情,迈克尔·安格拉诺,布莱丹·格里森
